,index,brand,ultra_hd,full_hd,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category,Price
31,32,45.0,1,0,4.0,55.0,4.0,1,16.0,0.0054783799647818,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.736396675471232
32,33,28.0,1,0,4.55,55.0,6.0,1,44.8,0.007166429160729,4.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,10.596634733096073
33,34,45.0,1,0,4.05,43.0,6.0,1,16.0,0.0072299168975069,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,10.38871840689063
34,35,26.0,1,0,4.25,43.0,4.0,1,22.4,0.0053950536222368,3.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,10.72965662094508
35,36,41.0,1,0,4.3,50.0,2.0,1,19.2,0.0063083488930381,3.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,10.531856183153891
36,37,37.0,0,0,4.65,32.0,6.0,1,16.0,0.0149555146951455,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.323669057283183
37,38,51.0,0,1,4.55,43.0,6.0,1,19.2,0.0124374958330555,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,9.615805480084347
38,39,17.0,1,0,4.2,55.0,4.0,1,28.8,0.0049966378730667,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,10.968198289528557
39,40,17.0,1,0,4.25,65.0,4.0,1,32.0,0.0040297441226133,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,11.251443810887574
40,41,45.0,1,0,4.45,65.0,6.0,1,32.0,0.0049901500227307,3.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,11.097273648073832
41,42,41.0,1,0,4.65,43.0,4.0,1,25.6,0.0059308570149921,3.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,10.707527418047702
42,43,26.0,1,0,4.45,43.0,2.0,1,19.2,0.0067426285645019,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,10.404262840448617
43,44,26.0,1,0,4.55,43.0,2.0,1,22.4,0.0067687815091324,3.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,10.499573020252942
44,45,45.0,1,0,4.4,75.0,6.0,1,32.0,0.0036434025163996,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.44025799325892
45,46,45.0,1,0,4.45,55.0,6.0,1,32.0,0.0057105114172485,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,10.87787736679393
46,47,45.0,1,0,4.7,55.0,6.0,1,32.0,0.0069969760409397,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,10.66874607044333
47,48,56.0,1,0,4.1,43.0,6.0,1,32.0,0.0082003037149524,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,10.203592144986466
48,49,56.0,0,0,4.55,32.0,6.0,1,16.0,0.0121341422761517,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.615805480084347
49,50,0.0,1,0,4.25,50.0,6.0,1,19.2,0.0096903876155046,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,10.126631103850338
50,51,45.0,0,1,4.75,32.0,6.0,1,19.2,0.0121794871794871,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,9.679781342959442
51,52,26.0,1,0,4.75,75.0,2.0,1,22.4,0.0030875308753087,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,11.512925464970229
52,53,8.0,0,0,4.75,32.0,6.0,1,16.0,0.0149555146951455,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,9.35010231435134
53,54,8.0,0,1,4.65,40.0,6.0,1,19.2,0.0116257266079129,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,9.680344001221918
54,55,26.0,1,0,4.15,55.0,4.0,1,25.6,0.0041855416331903,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.976782033219948
55,56,44.0,1,0,4.6,65.0,2.0,1,32.0,0.0026604546549923,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.731988703117286
56,57,51.0,0,0,4.5,40.0,6.0,0,16.0,0.0106373306664242,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.305650551780507
